code,name,chapter_key,chapter,sex_restriction
A000,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A001,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A009,"CÓLERA, NO ESPECIFICADO",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A010,FIEBRE TIFOIDEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A011,FIEBRE PARATIFOIDEA A,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A012,FIEBRE PARATIFOIDEA B,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A013,FIEBRE PARATIFOIDEA C,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A020,ENTERITIS DEBIDA A SALMONELLA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A021,SEPSIS DEBIDA A SALMONELLA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A029,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A038,OTRAS SHIGELOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A040,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A041,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A042,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A043,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A049,"INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A050,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A051,BOTULISMO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A052,INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A053,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A054,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
